.\test\TowerContestTest.java:67:	UnitTestContainsTooManyAsserts:	Unit tests should not contain more than 1 assert(s).
.\test\TowerContestTest.java:74:	UnitTestContainsTooManyAsserts:	Unit tests should not contain more than 1 assert(s).
.\test\TowerContestTest.java:92:	UnitTestContainsTooManyAsserts:	Unit tests should not contain more than 1 assert(s).
.\test\TowerContestTest.java:96:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\test\TowerContestTest.java:115:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:13:	UnusedPrivateField:	Avoid unused private fields such as 'width'.
.\tower\Tower.java:108:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:143:	UnusedLocalVariable:	Avoid unused local variables such as 'cupIndex'.
.\tower\Tower.java:147:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:164:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:190:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:266:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:287:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:315:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:315:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:316:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:316:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:345:	UnusedAssignment:	The initializer for variable 'interactionY' is never used (overwritten on lines 350, 353 and 356)
.\tower\Tower.java:347:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:347:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:381:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:448:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:483:	UnusedAssignment:	The initializer for variable 'interactionY' is never used (overwritten on lines 487, 489 and 492)
.\tower\Tower.java:485:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:485:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:530:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\Tower.java:560:	UseVarargs:	Consider using varargs for methods or constructors which take an array the last parameter.
.\tower\Tower.java:596:	LiteralsFirstInComparisons:	Position literals first in String comparisons
.\tower\TowerContest.java:75:	UseVarargs:	Consider using varargs for methods or constructors which take an array the last parameter.
.\tower\TowerContest.java:114:	LiteralsFirstInComparisons:	Position literals first in String comparisons
